iter	Passed	Remaining
0	159	159583
1	167	83493
2	180	60141
3	186	46479
4	195	38852
5	201	33376
6	210	29841
7	216	26794
8	223	24664
9	231	22932
10	239	21566
11	246	20272
12	252	19144
13	277	19562
14	295	19380
15	329	20257
16	341	19725
17	382	20841
18	401	20719
19	426	20886
20	438	20450
21	458	20395
22	481	20463
23	492	20018
24	530	20690
25	554	20771
26	575	20726
27	595	20687
28	609	20405
29	624	20187
30	641	20052
31	661	20006
32	671	19676
33	682	19389
34	689	19023
35	705	18898
36	726	18904
37	748	18952
38	764	18834
39	775	18613
40	783	18318
41	798	18208
42	812	18072
43	822	17862
44	830	17619
45	837	17373
46	844	17117
47	850	16872
48	859	16687
49	873	16595
50	879	16366
51	886	16157
52	899	16068
53	905	15867
54	932	16014
55	947	15972
56	955	15804
57	964	15666
58	970	15486
59	977	15319
60	985	15164
61	993	15025
62	998	14850
63	1005	14707
64	1012	14561
65	1024	14492
66	1037	14448
67	1047	14358
68	1056	14261
69	1063	14127
70	1069	13998
71	1075	13863
72	1080	13726
73	1088	13617
74	1095	13515
75	1103	13416
76	1109	13297
77	1118	13219
78	1127	13140
79	1134	13049
80	1140	12945
81	1146	12836
82	1154	12753
83	1160	12653
84	1166	12553
85	1172	12457
86	1179	12376
87	1188	12316
88	1195	12241
89	1203	12165
90	1209	12081
91	1219	12034
92	1235	12051
93	1245	12002
94	1256	11973
95	1264	11909
96	1272	11841
97	1278	11767
98	1287	11714
99	1292	11636
100	1298	11557
101	1305	11491
102	1313	11442
103	1321	11381
104	1327	11311
105	1333	11248
106	1341	11195
107	1354	11184
108	1361	11131
109	1369	11083
110	1378	11037
111	1385	10986
112	1390	10917
113	1397	10859
114	1403	10803
115	1409	10740
116	1415	10684
117	1420	10619
118	1426	10564
119	1434	10517
120	1441	10472
121	1449	10431
122	1455	10379
123	1463	10340
124	1469	10283
125	1475	10236
126	1493	10265
127	1511	10294
128	1518	10250
129	1529	10234
130	1545	10250
131	1553	10215
132	1561	10180
133	1567	10133
134	1576	10104
135	1584	10069
136	1592	10032
137	1598	9984
138	1606	9949
139	1613	9913
140	1621	9878
141	1627	9832
142	1634	9793
143	1641	9759
144	1647	9714
145	1653	9670
146	1671	9697
147	1682	9687
148	1695	9684
149	1713	9711
150	1726	9707
151	1739	9701
152	1746	9668
153	1754	9640
154	1762	9609
155	1769	9573
156	1775	9531
157	1780	9490
158	1787	9452
159	1793	9418
160	1803	9396
161	1810	9363
162	1815	9324
163	1821	9287
164	1827	9249
165	1834	9214
166	1841	9185
167	1850	9162
168	1862	9157
169	1872	9143
170	1883	9129
171	1909	9191
172	1923	9194
173	1948	9250
174	1957	9228
175	1968	9216
176	1980	9208
177	1991	9194
178	2007	9207
179	2018	9195
180	2024	9161
181	2034	9145
182	2047	9139
183	2054	9109
184	2062	9085
185	2085	9128
186	2093	9099
187	2101	9077
188	2110	9055
189	2118	9033
190	2127	9009
191	2136	8990
192	2144	8967
193	2151	8939
194	2159	8916
195	2167	8891
196	2179	8883
197	2185	8851
198	2191	8821
199	2199	8796
200	2207	8776
201	2214	8749
202	2220	8718
203	2228	8696
204	2237	8676
205	2245	8653
206	2250	8621
207	2257	8596
208	2268	8586
209	2276	8563
210	2283	8536
211	2289	8509
212	2295	8482
213	2301	8453
214	2307	8426
215	2313	8397
216	2319	8368
217	2334	8373
218	2342	8352
219	2349	8328
220	2357	8310
221	2365	8291
222	2373	8270
223	2380	8246
224	2390	8232
225	2397	8209
226	2405	8190
227	2410	8162
228	2416	8137
229	2423	8114
230	2429	8088
231	2438	8073
232	2449	8062
233	2462	8059
234	2478	8067
235	2490	8061
236	2505	8066
237	2524	8082
238	2532	8062
239	2543	8054
240	2550	8032
241	2558	8014
242	2564	7989
243	2571	7965
244	2578	7946
245	2587	7929
246	2595	7911
247	2600	7886
248	2608	7866
249	2613	7840
250	2622	7826
251	2631	7810
252	2648	7818
253	2658	7808
254	2671	7803
255	2685	7804
256	2697	7799
257	2706	7782
258	2714	7766
259	2723	7751
260	2730	7731
261	2738	7713
262	2745	7693
263	2751	7672
264	2758	7650
265	2766	7633
266	2773	7614
267	2780	7594
268	2786	7572
269	2793	7553
270	2802	7538
271	2809	7519
272	2815	7498
273	2823	7482
274	2834	7472
275	2842	7456
276	2866	7482
277	2873	7462
278	2897	7488
279	2911	7487
280	2920	7472
281	2926	7451
282	2940	7450
283	2952	7443
284	2974	7462
285	2987	7457
286	3001	7457
287	3014	7452
288	3021	7434
289	3031	7422
290	3040	7407
291	3047	7388
292	3059	7382
293	3074	7382
294	3083	7370
295	3090	7350
296	3096	7330
297	3102	7309
298	3108	7286
299	3116	7272
300	3124	7254
301	3131	7237
302	3137	7217
303	3146	7202
304	3154	7188
305	3162	7173
306	3168	7152
307	3176	7136
308	3184	7120
309	3191	7104
310	3198	7085
311	3204	7066
312	3212	7049
313	3217	7030
314	3224	7011
315	3245	7025
316	3253	7009
317	3262	6996
318	3276	6994
319	3293	6998
320	3307	6996
321	3318	6987
322	3333	6987
323	3340	6970
324	3349	6956
325	3365	6957
326	3375	6946
327	3383	6932
328	3397	6929
329	3411	6927
330	3421	6915
331	3428	6898
332	3434	6880
333	3453	6887
334	3465	6879
335	3479	6875
336	3493	6872
337	3504	6862
338	3513	6850
339	3525	6843
340	3531	6825
341	3541	6814
342	3547	6795
343	3557	6784
344	3564	6766
345	3576	6760
346	3590	6757
347	3600	6746
348	3610	6735
349	3626	6734
350	3641	6732
351	3654	6728
352	3660	6708
353	3667	6693
354	3677	6681
355	3686	6668
356	3692	6651
357	3700	6636
358	3708	6621
359	3716	6606
360	3724	6592
361	3730	6574
362	3740	6564
363	3748	6548
364	3753	6530
365	3759	6513
366	3770	6502
367	3778	6489
368	3785	6473
369	3791	6455
370	3807	6454
371	3819	6448
372	3828	6435
373	3838	6424
374	3852	6420
375	3859	6404
376	3866	6389
377	3874	6375
378	3885	6366
379	3898	6360
380	3904	6344
381	3915	6333
382	3923	6321
383	3933	6310
384	3949	6308
385	3959	6298
386	3968	6286
387	3977	6273
388	3986	6261
389	3995	6249
390	4004	6237
391	4011	6222
392	4018	6206
393	4025	6191
394	4033	6178
395	4040	6163
396	4047	6147
397	4052	6130
398	4059	6114
399	4071	6106
400	4079	6093
401	4086	6078
402	4093	6063
403	4100	6049
404	4110	6038
405	4116	6022
406	4123	6007
407	4130	5992
408	4142	5985
409	4148	5969
410	4157	5958
411	4168	5948
412	4176	5936
413	4185	5924
414	4194	5913
415	4202	5899
416	4209	5885
417	4216	5871
418	4225	5859
419	4231	5844
420	4238	5828
421	4251	5822
422	4259	5810
423	4274	5806
424	4281	5791
425	4288	5778
426	4298	5768
427	4304	5752
428	4311	5738
429	4321	5728
430	4329	5715
431	4338	5704
432	4346	5691
433	4353	5677
434	4359	5662
435	4366	5648
436	4372	5633
437	4388	5630
438	4399	5622
439	4406	5608
440	4412	5593
441	4419	5579
442	4431	5572
443	4439	5559
444	4446	5546
445	4453	5532
446	4461	5519
447	4468	5506
448	4474	5491
449	4481	5476
450	4488	5463
451	4496	5451
452	4501	5436
453	4508	5422
454	4515	5408
455	4522	5394
456	4530	5382
457	4536	5367
458	4542	5353
459	4548	5339
460	4554	5325
461	4561	5311
462	4567	5298
463	4574	5284
464	4584	5274
465	4592	5262
466	4599	5249
467	4612	5243
468	4619	5229
469	4627	5218
470	4633	5203
471	4645	5196
472	4652	5183
473	4660	5171
474	4665	5156
475	4673	5144
476	4681	5133
477	4688	5120
478	4694	5105
479	4700	5092
480	4708	5080
481	4714	5066
482	4720	5053
483	4727	5039
484	4733	5026
485	4744	5017
486	4752	5005
487	4759	4993
488	4765	4980
489	4781	4976
490	4795	4971
491	4805	4961
492	4813	4950
493	4828	4945
494	4837	4935
495	4848	4926
496	4860	4918
497	4876	4915
498	4884	4903
499	4892	4892
500	4899	4880
501	4908	4869
502	4914	4855
503	4920	4842
504	4925	4828
505	4931	4814
506	4941	4804
507	4949	4793
508	4957	4781
509	4962	4768
510	4971	4757
511	4980	4747
512	4987	4735
513	4994	4722
514	5004	4713
515	5012	4701
516	5019	4689
517	5025	4676
518	5037	4668
519	5043	4655
520	5049	4642
521	5054	4628
522	5061	4616
523	5071	4607
524	5079	4596
525	5086	4583
526	5093	4571
527	5105	4563
528	5113	4553
529	5119	4539
530	5127	4528
531	5134	4516
532	5145	4508
533	5151	4495
534	5157	4482
535	5168	4473
536	5176	4463
537	5193	4459
538	5202	4449
539	5212	4440
540	5224	4432
541	5235	4424
542	5242	4412
543	5248	4399
544	5253	4386
545	5260	4373
546	5266	4361
547	5273	4349
548	5281	4338
549	5287	4325
550	5294	4314
551	5300	4302
552	5311	4293
553	5319	4282
554	5326	4270
555	5337	4262
556	5346	4252
557	5352	4239
558	5363	4231
559	5372	4221
560	5381	4210
561	5389	4200
562	5397	4189
563	5414	4185
564	5426	4177
565	5434	4166
566	5442	4156
567	5448	4143
568	5460	4135
569	5467	4124
570	5477	4115
571	5484	4104
572	5491	4091
573	5496	4079
574	5503	4067
575	5509	4055
576	5517	4044
577	5525	4033
578	5532	4022
579	5544	4015
580	5550	4003
581	5557	3991
582	5569	3983
583	5579	3974
584	5591	3966
585	5601	3957
586	5613	3949
587	5621	3938
588	5628	3927
589	5636	3916
590	5642	3905
591	5649	3893
592	5655	3881
593	5663	3871
594	5670	3859
595	5676	3848
596	5683	3836
597	5689	3824
598	5696	3813
599	5701	3801
600	5707	3789
601	5714	3777
602	5721	3766
603	5729	3756
604	5738	3746
605	5750	3738
606	5757	3727
607	5772	3721
608	5778	3710
609	5791	3703
610	5799	3692
611	5806	3681
612	5813	3670
613	5822	3660
614	5829	3649
615	5835	3638
616	5842	3626
617	5857	3620
618	5872	3614
619	5880	3604
620	5892	3596
621	5899	3585
622	5907	3574
623	5913	3563
624	5922	3553
625	5930	3543
626	5938	3532
627	5945	3522
628	5952	3510
629	5965	3503
630	5974	3493
631	5984	3484
632	5992	3474
633	6003	3465
634	6015	3457
635	6023	3447
636	6030	3436
637	6035	3424
638	6043	3414
639	6052	3404
640	6061	3394
641	6069	3384
642	6077	3374
643	6086	3364
644	6095	3354
645	6103	3344
646	6112	3335
647	6125	3327
648	6134	3317
649	6142	3307
650	6154	3299
651	6162	3289
652	6169	3278
653	6178	3268
654	6184	3257
655	6195	3249
656	6211	3242
657	6225	3235
658	6232	3225
659	6244	3216
660	6253	3207
661	6259	3196
662	6270	3187
663	6276	3176
664	6284	3166
665	6291	3155
666	6298	3144
667	6305	3133
668	6311	3122
669	6319	3112
670	6326	3101
671	6334	3092
672	6344	3082
673	6357	3075
674	6367	3065
675	6380	3057
676	6386	3047
677	6392	3035
678	6399	3025
679	6405	3014
680	6413	3004
681	6420	2993
682	6427	2983
683	6438	2974
684	6446	2964
685	6453	2953
686	6459	2942
687	6468	2933
688	6477	2923
689	6487	2914
690	6493	2903
691	6500	2893
692	6506	2882
693	6517	2873
694	6523	2862
695	6530	2852
696	6550	2847
697	6565	2840
698	6573	2830
699	6586	2822
700	6599	2815
701	6608	2805
702	6615	2794
703	6622	2784
704	6628	2773
705	6639	2764
706	6644	2753
707	6650	2742
708	6655	2731
709	6662	2721
710	6674	2712
711	6683	2703
712	6690	2692
713	6697	2682
714	6708	2674
715	6716	2664
716	6728	2655
717	6741	2647
718	6749	2637
719	6756	2627
720	6765	2617
721	6773	2607
722	6782	2598
723	6789	2588
724	6799	2579
725	6809	2569
726	6820	2561
727	6827	2550
728	6838	2542
729	6846	2532
730	6856	2523
731	6869	2515
732	6876	2504
733	6884	2494
734	6891	2484
735	6899	2474
736	6904	2463
737	6911	2453
738	6917	2443
739	6925	2433
740	6932	2423
741	6938	2412
742	6945	2402
743	6951	2391
744	6957	2381
745	6964	2371
746	6974	2362
747	6981	2352
748	6989	2342
749	6997	2332
750	7003	2322
751	7013	2312
752	7018	2302
753	7029	2293
754	7038	2283
755	7046	2274
756	7051	2263
757	7065	2255
758	7072	2245
759	7080	2235
760	7086	2225
761	7099	2217
762	7107	2207
763	7113	2197
764	7120	2187
765	7134	2179
766	7142	2169
767	7149	2159
768	7163	2151
769	7178	2144
770	7185	2134
771	7192	2124
772	7201	2114
773	7208	2104
774	7216	2095
775	7230	2087
776	7240	2077
777	7248	2068
778	7263	2060
779	7270	2050
780	7276	2040
781	7289	2032
782	7296	2022
783	7307	2013
784	7315	2003
785	7326	1994
786	7332	1984
787	7345	1976
788	7359	1968
789	7367	1958
790	7377	1949
791	7392	1941
792	7400	1931
793	7406	1921
794	7412	1911
795	7420	1901
796	7426	1891
797	7434	1881
798	7440	1871
799	7445	1861
800	7454	1851
801	7461	1842
802	7468	1832
803	7473	1821
804	7480	1812
805	7488	1802
806	7495	1792
807	7501	1782
808	7512	1773
809	7523	1764
810	7532	1755
811	7537	1745
812	7544	1735
813	7552	1725
814	7559	1716
815	7569	1706
816	7577	1697
817	7586	1687
818	7593	1678
819	7599	1668
820	7606	1658
821	7614	1648
822	7621	1639
823	7628	1629
824	7636	1619
825	7642	1610
826	7653	1601
827	7660	1591
828	7667	1581
829	7674	1571
830	7685	1563
831	7693	1553
832	7703	1544
833	7719	1536
834	7729	1527
835	7740	1518
836	7747	1508
837	7753	1498
838	7764	1490
839	7770	1480
840	7779	1470
841	7791	1462
842	7800	1452
843	7809	1443
844	7819	1434
845	7833	1425
846	7840	1416
847	7848	1406
848	7855	1397
849	7865	1387
850	7872	1378
851	7879	1368
852	7887	1359
853	7894	1349
854	7902	1340
855	7908	1330
856	7914	1320
857	7923	1311
858	7930	1301
859	7938	1292
860	7946	1282
861	7958	1274
862	7964	1264
863	7972	1254
864	7984	1246
865	7991	1236
866	7998	1227
867	8011	1218
868	8018	1208
869	8025	1199
870	8040	1190
871	8047	1181
872	8054	1171
873	8061	1162
874	8067	1152
875	8077	1143
876	8082	1133
877	8089	1124
878	8098	1114
879	8111	1106
880	8118	1096
881	8128	1087
882	8144	1079
883	8157	1070
884	8163	1060
885	8170	1051
886	8178	1041
887	8189	1032
888	8195	1023
889	8203	1013
890	8210	1004
891	8222	995
892	8229	986
893	8244	977
894	8251	968
895	8258	958
896	8266	949
897	8273	939
898	8279	930
899	8293	921
900	8307	912
901	8320	903
902	8327	894
903	8339	885
904	8356	877
905	8365	867
906	8372	858
907	8379	849
908	8388	839
909	8394	830
910	8400	820
911	8406	811
912	8412	801
913	8419	792
914	8431	783
915	8439	773
916	8446	764
917	8453	755
918	8467	746
919	8474	736
920	8482	727
921	8495	718
922	8510	710
923	8516	700
924	8522	691
925	8535	682
926	8549	673
927	8556	663
928	8568	654
929	8577	645
930	8585	636
931	8592	626
932	8602	617
933	8608	608
934	8613	598
935	8619	589
936	8630	580
937	8638	570
938	8646	561
939	8652	552
940	8665	543
941	8673	534
942	8685	524
943	8698	515
944	8705	506
945	8711	497
946	8718	487
947	8725	478
948	8732	469
949	8740	460
950	8747	450
951	8761	441
952	8777	432
953	8786	423
954	8795	414
955	8801	405
956	8810	395
957	8817	386
958	8826	377
959	8832	368
960	8839	358
961	8851	349
962	8859	340
963	8866	331
964	8873	321
965	8879	312
966	8884	303
967	8891	293
968	8896	284
969	8903	275
970	8908	266
971	8913	256
972	8921	247
973	8928	238
974	8936	229
975	8941	219
976	8948	210
977	8956	201
978	8964	192
979	8971	183
980	8976	173
981	8984	164
982	8992	155
983	9000	146
984	9006	137
985	9013	127
986	9021	118
987	9028	109
988	9035	100
989	9042	91
990	9052	82
991	9059	73
992	9067	63
993	9074	54
994	9082	45
995	9088	36
996	9094	27
997	9100	18
998	9106	9
999	9116	0
