critic,fresh,imdb,publication,quote,review_date,rtid,title
Derek Adams,fresh,114709,Time Out,"So ingenious in concept, design and execution that you could watch it on a postage stamp-sized screen and still be engulfed by its charm.",4/10/2009,9559,Toy story
Richard Corliss,fresh,114709,TIME Magazine,The year's most inventive comedy.,31/08/2008,9559,Toy story
David Ansen,fresh,114709,Newsweek,A winning animated feature that has something for everyone on the age spectrum.,18/08/2008,9559,Toy story
Leonard Klady,fresh,114709,Variety,The film sports a provocative and appealing story that's every bit the equal of this technical achievement.,9/06/2008,9559,Toy story
Jonathan Rosenbaum,fresh,114709,Chicago Reader,"An entertaining computer-generated, hyperrealist animation feature (1995) that's also in effect a toy catalog.",10/03/2008,9559,Toy story
Michael Booth,fresh,114709,Denver Post,"As Lion King did before it, Toy Story revived the art of American children's animation, and ushered in a set of smart movies that entertained children and their parents. It's a landmark movie, and doesn't get old with frequent repetition.",3/05/2007,9559,Toy story
Geoff Andrew,fresh,114709,Time Out,"The film will probably be more fully appreciated by adults, who'll love the snappy, knowing verbal gags, the vivid, deftly defined characters, and the overall conceptual sophistication.",24/06/2006,9559,Toy story
Janet Maslin,fresh,114709,New York Times,Children will enjoy a new take on the irresistible idea of toys coming to life. Adults will marvel at a witty script and utterly brilliant anthropomorphism.,20/05/2003,9559,Toy story
Kenneth Turan,fresh,114709,Los Angeles Times,"Although its computer-generated imagery is impressive, the major surprise of this bright foray into a new kind of animation is how much cleverness has been invested in story and dialogue.",13/02/2001,9559,Toy story
Susan Wloszczyna,fresh,114709,USA Today,"How perfect that two of the most popular funny guys around, Tom Hanks and Tim Allen, speak for the lead boy-toys.",1/01/2000,9559,Toy story
Roger Ebert,fresh,114709,Chicago Sun-Times,The result is a visionary roller-coaster ride of a movie.,1/01/2000,9559,Toy story
John Hartl,fresh,114709,Film.com,"Disney's witty, wondrously imaginative, all-computer-generated cartoon is far and away the best of the new holiday movies in town.",1/01/2000,9559,Toy story
Susan Stark,fresh,114709,Detroit News,Disney's first computer-made animated feature is a 3-D eye popper.,1/01/2000,9559,Toy story
Peter Stack,fresh,114709,San Francisco Chronicle,"The script, by Lasseter, Pete Docter, Andrew Stanton and Joe Ranft, is filled with clever gags that keep the two heroes at each other's throats and the plot on fast- forward.",1/01/2000,9559,Toy story
James Berardinelli,fresh,114709,ReelViews,The one big negative about Toy Story involves Disney's overcommercialization.,1/01/2000,9559,Toy story
Sean Means,fresh,114709,Film.com,"Technically, Toy Story is nearly flawless.",1/01/2000,9559,Toy story
Rita Kempley,fresh,114709,Washington Post,It's a nice change of pace to see the studio draw magic from this modern tale about ordinary 20th-century kid Andy and his eager-to-please playthings.,1/01/2000,9559,Toy story
,fresh,114709,Entertainment Weekly,"I can hardly imagine having more fun at the movies than I did at Toy Story, the miraculous new Disney feature that's the first full-length animated film to be produced entirely on computer.",22/11/1995,9559,Toy story
Roger Moore,fresh,114709,Orlando Sentinel,"The great voice acting, the visual puns, all added up to an animation game changer.",22/11/1995,9559,Toy story
Roger Ebert,rotten,113497,Chicago Sun-Times,"A gloomy special-effects extravaganza filled with grotesque images, generating fear and despair.",1/01/2000,12436,Jumanji
,fresh,113497,USA Today,A calculated but very entertaining special effects extravaganza.,1/01/2000,12436,Jumanji
Richard Schickel,fresh,107050,TIME Magazine,Walter Matthau and Jack Lemmon are awfully good at this sort of thing.,24/08/2008,10498,Grumpy Old Men
Derek Adams,rotten,107050,Time Out,"Mediocre, regrettably.",24/06/2006,10498,Grumpy Old Men
Caryn James,fresh,107050,New York Times,"Just don't expect their bickering to be on the level of Neil Simon, and you won't be disappointed.",20/05/2003,10498,Grumpy Old Men
James Berardinelli,fresh,107050,ReelViews,"While it won't come close to my top 10 best list for 1993, it will be right up there among the pictures that I had the most fun watching.",1/01/2000,10498,Grumpy Old Men
Roger Ebert,rotten,107050,Chicago Sun-Times,"The movie is too pat and practiced to really be convincing, and the progress of Ariel's relationships with the two grumps seems dictated mostly by the needs of the screenplay.",1/01/2000,10498,Grumpy Old Men
Desson Thomson,fresh,107050,Washington Post,"If you poke through Grumpy's cheap sentimentality, you'll find a worthy picture somewhere.",1/01/2000,10498,Grumpy Old Men
Liam Lacey,rotten,114885,Globe and Mail,Never escapes the queasy aura of Melrose Place: just another story about beautiful people with small problems.,12/04/2002,16697,Waiting to Exhale
Kenneth Turan,fresh,114885,Los Angeles Times,A pleasant if undemanding piece of work that is diverting to sit through though it won't stand up to any kind of rigorous examination.,13/02/2001,16697,Waiting to Exhale
Edward Guthmann,rotten,114885,San Francisco Chronicle,"You want the movie to stomp and rejoice and cry like a fool; instead it meanders and lollygags, occasionally flaring up, then sputtering again.",1/01/2000,16697,Waiting to Exhale
